 Category, Price_in_AUD,Rank,,,,,,,,,
Ecstasy,32582.93,E,,,,,,,,,
Ecstasy,42652.43,B,,,,,,,,,
Ecstasy,60689.28,A,,,,,,,,,
Dissociatives,4155.19,C,,,,,,,,,
Dissociatives,2124.97,A,,,,,,,,,
Dissociatives,154589.43,F,,,,,,,,,
Dissociatives,205484.65,D,,,,,,,,,
Dissociatives,109046.73,A,,,,,,,,,
Dissociatives,335574.88,B,,,,,,,,,
Dissociatives,7170.54,B,,,,,,,,,
Prescription,31866.96,A,,,,,,,,,
Dissociatives,13972.09,A,,,,,,,,,
Dissociatives,7440.62,A,,,,,,,,,
Dissociatives,984.47,A,,,,,,,,,
Dissociatives,189880.36,B,,,,,,,,,
Dissociatives,50111.01,C,,,,,,,,,
Dissociatives,140346.13,D,,,,,,,,,
Dissociatives,320734.08,D,,,,,,,,,
Dissociatives,66045.63,C,,,,,,,,,
Cocaine,40024.11,C,,,,,,,,,
Cocaine,20841.91,D,,,,,,,,,
Cocaine,18741.81,F,,,,,,,,,
Cocaine,84078.79,C,,,,,,,,,
Cocaine,69636.11,B,,,,,,,,,
Cocaine,57943.39,D,,,,,,,,,
Cocaine,9498.36,F,,,,,,,,,
Cocaine,13175.58,B,,,,,,,,,
Cocaine,141408.56,B,,,,,,,,,
Cocaine,16743.33,A,,,,,,,,,
Cocaine,46627.79,A,,,,,,,,,
Cocaine,24897.28,A,,,,,,,,,
Cocaine,7638.95,F,,,,,,,,,
Cocaine,47779.12,A,,,,,,,,,
Cocaine,15202.59,B,,,,,,,,,
Cocaine,30064.54,C,,,,,,,,,
Cocaine,99306.95,C,,,,,,,,,
Cocaine,38447.22,C,,,,,,,,,
Cocaine,25712.85,A,,,,,,,,,
Cocaine,122664.6,A,,,,,,,,,
Cocaine,56769.85,B,,,,,,,,,
Cocaine,29145.75,B,,,,,,,,,
Cocaine,4869.79,F,,,,,,,,,
Cocaine,15238.54,B,,,,,,,,,
Cocaine,13424.62,A,,,,,,,,,
Cocaine,24357.24,E,,,,,,,,,
Cocaine,99616.47,A,,,,,,,,,
Cocaine,73071.72,B,,,,,,,,,
Cocaine,111514.23,A,,,,,,,,,
Cocaine,25224.25,C,,,,,,,,,
Cocaine,108182.94,A,,,,,,,,,
Cocaine,31625.09,D,,,,,,,,,
Cocaine,19451.83,C,,,,,,,,,
Cocaine,19252.44,D,,,,,,,,,
Cocaine,37863.73,C,,,,,,,,,
Cocaine,116710.92,A,,,,,,,,,
Cocaine,29561.67,A,,,,,,,,,
Cocaine,96014.62,C,,,,,,,,,
Cocaine,8166.6,A,,,,,,,,,
Cannabis,9792.91,B,,,,,,,,,
Cannabis,17431.97,A,,,,,,,,,
Cannabis,37729.06,A,,,,,,,,,
Cannabis,20164.68,A,,,,,,,,,
Cannabis,140185.54,D,,,,,,,,,
Cannabis,5925.81,B,,,,,,,,,
Cannabis,31968.81,A,,,,,,,,,
Cannabis,7630.11,B,,,,,,,,,
Cannabis,15403.25,A,,,,,,,,,
Cannabis,14686.53,A,,,,,,,,,
Cannabis,8057.07,D,,,,,,,,,
Cannabis,6862.13,D,,,,,,,,,
Cannabis,3828.6,B,,,,,,,,,
Cannabis,7185.83,D,,,,,,,,,
Cannabis,4635.77,D,,,,,,,,,
Cannabis,24481.21,C,,,,,,,,,
Cannabis,18826.5,A,,,,,,,,,
Cannabis,8326.27,D,,,,,,,,,
Cannabis,91895.09,E,,,,,,,,,
Cannabis,30101.95,C,,,,,,,,,
Cannabis,5124.53,D,,,,,,,,,
Cannabis,37667.66,B,,,,,,,,,
Cannabis,173747.47,B,,,,,,,,,
Prescription,6420.56,D,,,,,,,,,
Cannabis,19239.11,A,,,,,,,,,
Cannabis,11791.21,C,,,,,,,,,
Cannabis,10185.23,A,,,,,,,,,
Cannabis,20079.53,B,,,,,,,,,
Cannabis,15989.11,C,,,,,,,,,
Cannabis,20079.53,E,,,,,,,,,
Cannabis,3629.78,A,,,,,,,,,
Cannabis,295589.7,A,,,,,,,,,
Cannabis,5098.37,B,,,,,,,,,
Cannabis,26041.51,A,,,,,,,,,
Cannabis,6827.84,B,,,,,,,,,
Cannabis,37758.74,A,,,,,,,,,
Cannabis,3574.71,B,,,,,,,,,
Cannabis,10035.86,A,,,,,,,,,
Cannabis,5160.21,A,,,,,,,,,
Cannabis,7627.96,F,,,,,,,,,
Cannabis,7640.32,A,,,,,,,,,
Cannabis,7756.56,F,,,,,,,,,
Cannabis,20722.52,A,,,,,,,,,
Cannabis,52435.9,B,,,,,,,,,
Cannabis,13589.8,A,,,,,,,,,
Cannabis,1288.8,A,,,,,,,,,
Cannabis,7446.82,E,,,,,,,,,
Cannabis,3.98,C,,,,,,,,,
Cannabis,33659.57,B,,,,,,,,,
Cannabis,21029.65,A,,,,,,,,,
Cannabis,12617.79,B,,,,,,,,,
Benzos,25180.78,D,,,,,,,,,
Benzos,48621.08,B,,,,,,,,,
Benzos,12587.84,C,,,,,,,,,
Benzos,2383.05,C,,,,,,,,,
Benzos,294.91,E,,,,,,,,,
Benzos,14565.26,B,,,,,,,,,
Benzos,5423.64,A,,,,,,,,,
Benzos,13171.1,B,,,,,,,,,
Benzos,24580.87,C,,,,,,,,,
Benzos,1819.38,A,,,,,,,,,
Benzos,2862.29,A,,,,,,,,,
Benzos,25409.65,A,,,,,,,,,
Benzos,4648.79,A,,,,,,,,,
Benzos,12447.06,B,,,,,,,,,
Benzos,104815.95,B,,,,,,,,,
Benzos,3464.73,A,,,,,,,,,
Benzos,1331.37,A,,,,,,,,,
Benzos,1360.88,E,,,,,,,,,
